site_id,hdop_cut_a_median,hdop_cut_b_median,valid_epochs
A03,0.4749187887770052,0.4749187887770052,284
S13,0.517408173345541,0.517408173345541,276
S15,0.436455256740248,0.436455256740248,307
A11,0.5832474332248235,0.5832474332248235,319
O02,0.4442265107849896,0.4442265107849896,293
O14,0.4585500047416406,0.4585500047416406,323
A09,0.4881682982490742,0.4881682982490742,321
A05,0.4807555663754232,0.4807555663754232,304
S10,0.43983731380274277,0.43983731380274277,309
S08,0.46351759944783993,0.46351759944783993,292
S03,0.4301177638386639,0.4301177638386639,326
O11,0.431367575045164,0.431367575045164,279
O07,0.4670511664206707,0.4670511664206707,313
O12,0.43753002572636107,0.43753002572636107,291
A12,0.49018564997007746,0.49018564997007746,299
S05,0.4255068997789007,0.4255068997789007,264
A01,0.5303467304781568,0.5303467304781568,310
A04,0.46638447841172614,0.46638447841172614,306
S11,0.4468293115573784,0.455979579395219,301
S07,0.48613713948139986,0.48613713948139986,322
O08,0.4971163056331476,0.4971163056331476,291
O01,0.4407245596033419,0.4407245596033419,282
S12,0.464383923562126,0.464383923562126,301
O06,0.4667759617582555,0.4667759617582555,280
O15,0.5070824085105378,0.5070824085105378,298
O13,0.4226966064527139,0.4226966064527139,318
S09,0.4516736097074535,0.4516736097074535,291
A10,0.471056075547595,0.471056075547595,308
S04,0.4610855780892973,0.4610855780892973,302
A02,0.5728699863989114,0.5728699863989114,309
A06,0.45868132587825844,0.45868132587825844,255
O03,0.45343482566583293,0.45343482566583293,320
S01,0.5297180821763335,0.5297180821763335,297
S14,0.4583516382188726,0.4583516382188726,313
A08,0.4460458522381242,0.4460458522381242,296
S06,0.4357707305586342,0.4357707305586342,317
A07,0.47314380681782686,0.47314380681782686,305
O05,0.5019935110281813,0.5019935110281813,304
S02,0.44874784011899393,0.44874784011899393,306
A15,0.6174778741822298,0.6236254345083828,296
O09,0.46113617770740956,0.46113617770740956,324
O10,0.4551798606179251,0.4551798606179251,302
O04,0.46356472222008044,0.4767313452033354,307
A14,0.5537160922845614,0.5537160922845614,318
A13,0.5022145272957699,0.5022145272957699,317
