site_id,class,center_x_6677,center_y_6677,risk_proxy_5m,svf_proxy_5m,risk_horizon,overhead_flag,overhead_score
A01,alley,-11820.35590806318,-37979.816068177024,0.9852636960652494,0.014736303934750561,0.9852636960652494,0,0.0
A02,alley,-11836.676173429052,-38021.29902286202,0.9872339541494679,0.012766045850532093,0.9872339541494679,0,0.0
A03,alley,-12090.229144351042,-37949.21061442697,0.5834429460547078,0.4165570539452922,0.5834429460547078,0,0.0
A04,alley,-11804.075388415004,-37887.067573512315,0.2641934426351899,0.73580655736481,0.2641934426351899,0,0.0
A05,alley,-11765.506460702774,-37966.57242654238,0.2622936664036072,0.7377063335963928,0.2622936664036072,0,0.0
A06,alley,-11838.119409916264,-37789.96885364837,0.32739542195616744,0.6726045780438326,0.32739542195616744,0,0.0
A07,alley,-12171.158299345778,-37931.50669948509,0.9857818403812885,0.014218159618711534,0.9857818403812885,0,0.0
A08,alley,-12167.004775405278,-37848.49664516539,0.9804025962972263,0.01959740370277374,0.9804025962972263,0,0.0
A09,alley,-12198.856588913164,-37957.684348426046,0.9800948245412636,0.01990517545873638,0.9800948245412636,0,0.0
A10,alley,-11968.153184042963,-38063.96062840187,0.9871536266369395,0.012846373363060493,0.9871536266369395,0,0.0
A11,alley,-11971.398730008992,-37975.65091090986,0.7970300598866183,0.20296994011338165,0.1366707475231365,1,1.0
A12,alley,-11828.533891718536,-37933.58518755058,0.9854300833953632,0.014569916604636801,0.3032612081893361,1,1.0
A13,alley,-12236.99033126365,-37893.39939263766,0.9839796234644591,0.016020376535540892,0.9839796234644591,0,0.0
A14,alley,-11807.715959627183,-38049.415028860254,0.4565382072539353,0.5434617927460648,0.4565382072539353,0,0.0
A15,alley,-11766.30250001,-37771.795027464235,0.9880722753864132,0.011927724613586821,0.9880722753864132,0,0.0
O01,open,-11826.717755716858,-37772.50371983221,0.7972194497904923,0.2027805502095077,0.7972194497904923,0,0.0
O02,open,-12179.954239212424,-38064.084916083615,0.44875477814978,0.55124522185022,0.44875477814978,0,0.0
O03,open,-12008.560315024955,-37890.09725305605,0.9826838625084212,0.017316137491578787,0.9826838625084212,0,0.0
O04,open,-12212.991811662638,-37719.770450372474,0.46798517282000685,0.5320148271799932,0.46798517282000685,0,0.0
O05,open,-12037.354615931905,-38055.80799309419,0.9869940271037311,0.013005972896268925,0.9869940271037311,0,0.0
O06,open,-12013.779831888134,-37803.73586297919,0.07684060138532303,0.923159398614677,0.07684060138532303,0,0.0
O07,open,-11966.837941564178,-37893.18406451368,0.9865177040851563,0.013482295914843734,0.9865177040851563,0,0.0
O08,open,-11776.453090721256,-37905.243514785034,0.9656332893564082,0.03436671064359176,0.5041212771424959,1,1.0
O09,open,-12169.616389930456,-37636.7988422755,0.7916788842324851,0.2083211157675149,0.7916788842324851,0,0.0
O10,open,-12006.116846186149,-37671.598253469776,0.4898539499723507,0.5101460500276493,0.4898539499723507,0,0.0
O11,open,-12068.16517348191,-37661.770414423576,0.988004942501323,0.01199505749867702,0.988004942501323,0,0.0
O12,open,-11843.170800261589,-37709.72463488004,0.9879979623282762,0.012002037671723809,0.9879979623282762,0,0.0
O13,open,-12011.637243034173,-37580.8698843816,0.3496513905814585,0.6503486094185416,0.3496513905814585,0,0.0
O14,open,-12020.825837077336,-37767.64912796764,0.15694816400925932,0.8430518359907406,0.15694816400925932,0,0.0
O15,open,-12248.383338948754,-37610.9871738891,0.987932981979407,0.012067018020592957,0.987932981979407,0,0.0
S01,street,-11805.081512605537,-37596.80461318382,0.45498196100895155,0.5450180389910484,0.45498196100895155,0,0.0
S02,street,-12052.038970698068,-37720.6827746632,0.988679380305229,0.01132061969477105,0.988679380305229,0,0.0
S03,street,-12240.509187651782,-37813.90933528223,0.5248223017992887,0.4751776982007113,0.5248223017992887,0,0.0
S04,street,-12126.326383890952,-37609.31437292478,0.9881655294429053,0.011834470557094745,0.9881655294429053,0,0.0
S05,street,-12192.73677057596,-37780.82767168342,0.9850361312167656,0.014963868783234413,0.9850361312167656,0,0.0
S06,street,-12234.325216658484,-37651.994035828495,0.7038806232366893,0.2961193767633107,0.7038806232366893,0,0.0
S07,street,-12264.30250001,-37915.02882033684,0.9869474531322654,0.013052546867734605,0.9869474531322654,0,0.0
S08,street,-12198.289512790594,-38021.20724119559,0.5764986669306394,0.42350133306936055,0.5764986669306394,0,0.0
S09,street,-12090.313583156989,-37702.30235831528,0.46801824671889586,0.5319817532811042,0.46801824671889586,0,0.0
S10,street,-11877.512448499354,-37625.6759086593,0.8144475123146319,0.18555248768536814,0.8144475123146319,0,0.0
S11,street,-12124.081492719284,-37770.93027373926,0.3482321478855875,0.6517678521144126,0.3482321478855875,0,0.0
S12,street,-11775.748440952586,-37657.88212447583,0.7998868668655028,0.2001131331344972,0.7998868668655028,0,0.0
S13,street,-12147.111802511004,-38013.97780934901,0.912828047850325,0.08717195214967499,0.912828047850325,0,0.0
S14,street,-11846.605176205898,-37667.18651644817,0.6506853771832457,0.3493146228167543,0.6506853771832457,0,0.0
S15,street,-11938.38609721707,-37697.27609317706,0.746404476440537,0.253595523559463,0.746404476440537,0,0.0
