site_id,class,center_x_6677,center_y_6677
A01,alley,-11820.35590806318,-37979.816068177024
A02,alley,-11836.676173429052,-38021.29902286202
A03,alley,-12090.229144351042,-37949.21061442697
A04,alley,-11804.075388415005,-37887.067573512315
A05,alley,-11765.506460702774,-37966.57242654238
A06,alley,-11838.119409916264,-37789.96885364837
A07,alley,-12171.158299345778,-37931.50669948509
A08,alley,-12167.004775405278,-37848.49664516539
A09,alley,-12198.856588913164,-37957.684348426046
A10,alley,-11968.153184042963,-38063.96062840187
A11,alley,-11971.398730008992,-37975.65091090986
A12,alley,-11828.533891718536,-37933.58518755058
A13,alley,-12236.99033126365,-37893.39939263766
A14,alley,-11807.715959627185,-38049.415028860254
A15,alley,-11766.30250001,-37771.795027464235
O01,open,-11826.717755716858,-37772.50371983221
O02,open,-12179.954239212424,-38064.084916083615
O03,open,-12008.560315024955,-37890.09725305605
O04,open,-12212.991811662638,-37719.770450372474
O05,open,-12037.354615931905,-38055.80799309419
O06,open,-12013.779831888134,-37803.73586297919
O07,open,-11966.837941564178,-37893.18406451368
O08,open,-11776.453090721256,-37905.243514785034
O09,open,-12169.616389930456,-37636.7988422755
O10,open,-12006.116846186149,-37671.598253469776
O11,open,-12068.16517348191,-37661.770414423576
O12,open,-11843.170800261587,-37709.72463488004
O13,open,-12011.637243034173,-37580.8698843816
O14,open,-12020.825837077336,-37767.64912796764
O15,open,-12248.383338948754,-37610.9871738891
S01,street,-11805.081512605537,-37596.80461318382
S02,street,-12052.038970698068,-37720.6827746632
S03,street,-12240.509187651782,-37813.90933528223
S04,street,-12126.326383890952,-37609.31437292478
S05,street,-12192.73677057596,-37780.82767168342
S06,street,-12234.325216658484,-37651.994035828495
S07,street,-12264.30250001,-37915.02882033684
S08,street,-12198.289512790594,-38021.20724119559
S09,street,-12090.313583156989,-37702.30235831528
S10,street,-11877.512448499354,-37625.6759086593
S11,street,-12124.081492719284,-37770.93027373926
S12,street,-11775.748440952586,-37657.88212447583
S13,street,-12147.111802511004,-38013.97780934901
S14,street,-11846.605176205898,-37667.18651644817
S15,street,-11938.38609721707,-37697.27609317706
