site_id,err_p95_m,n_fix
A01,22.35,720
A02,23.77,720
A03,5.0,720
A04,5.0,720
A05,5.0,720
A06,57.27,720
A07,5.0,720
A08,5.0,720
A09,5.0,720
A10,5.0,720
A11,56.74,720
A12,5.0,720
A13,5.0,720
A14,5.0,720
A15,5.0,720
O01,5.0,720
O02,5.0,720
O03,5.0,720
O04,5.0,720
O05,5.0,720
O06,5.0,720
O07,5.0,720
O08,5.0,720
O09,5.0,720
O10,5.0,720
O11,5.0,720
O12,5.0,720
O13,5.0,720
O14,5.0,720
O15,2.5,720
S01,5.0,720
S02,5.0,720
S03,5.0,720
S04,5.0,720
S05,5.0,720
S06,5.0,720
S07,5.0,720
S08,5.0,720
S09,5.0,720
S10,5.0,720
S11,5.0,720
S12,5.0,720
S13,16.66,720
S14,5.0,720
S15,5.0,720
